Ticket_Type,Operator,Offer,Child,Group
2 x Adult Return,first,,,
A4 Adult Rtn Use,first,,,
A4 Child Rtn Use,first,,TRUE,
A4 Senior RtnUse,first,,,
A4 StudentRtnUse,first,,,
ACC Acad Yr Bris,first,,,
ACC Acad Yr WoE,first,,,
ACC Aut TermBris,first,,,
ACC SpringT Bris,first,,,
AD Bath T3 QR,first,,,
AD Bris T2 QR,first,,,
AD Bris T3 QR,first,,,
AD Cap Rtn,eurocoaches,,,
AD Cap Sgl,eurocoaches,,,
AD Residents Rtn,first,,,
AD Residents Sgl,first,,,
AD Rtn,big_lemon,,,
AD Sgl,ct_coaches,,,
AD WoE T2 QR,first,,,
AD WoE T3 QR,first,,,
Ad Day AvonRider,faresaver,,,
Ad Day BathRider,faresaver,,,
Ad Rtn 23,faresaver,,,
Ad Sgl 23,faresaver,,,
Ad Wk BathRider,faresaver,,,
AdAptBus DaySing,first,,,
Adt Apt Day Sing,first,,,
Adt AptAny P Ret,first,,,
Adt Bus Day Ret,first,,,
AdtApt AnyD Sing,first,,,
Adult 2-Trip,first,,,
Adult 2-Trip QR,first,,,
Adult AR WEEK,big_lemon,,,
Adult Apt DayRet,first,,,
Adult BR WEEK,big_lemon,,,
Adult Return,big_lemon,,,
Adult Single,big_lemon,,,
AirWOE AD Sgl,first,,,
AirWOE CH Sgl,first,,TRUE,
AirWOE FML Rtn,first,,,TRUE
Airport Staff,first,,,
Airthru AD Rtn,first,,,
Airthru AD Sgl,first,,,
Airthru AD Sgl.,first,,,
Airthru CH Sgl,first,,TRUE,
Airthru FML Rtn,first,,,TRUE
Airthru ST Rtn,first,,,
Airthru ST Sgl,first,,,
Apt O/P Single,first,,,
Autoscan,faresaver,,,
AvnRdr AD Day,first,,,
AvnRdr CH Day,first,,TRUE,
AvnRdr GP Day,first,,,TRUE
AvnRdr STU Day,first,,,
Avon Rdr AD Day,first,,,
Avon Rdr AD Week,first,,,
Avon Rider AD,big_lemon,,,
Avon Rider AD WK,ct_coaches,,,
Avon Rider AW,big_lemon,,,
Avon Rider Punch,ct_coaches,,,
BA Staff,first,,,
BC AcadYr Bris,first,,TRUE,
BC AcadYr WoE,first,,TRUE,
BH Ad Day Zone,first,,,
BH Cd Day Zone,first,,TRUE,
BH Gp Day Zone,first,,,TRUE
BH P&R 10J,first,,,
BL Ad Day Zone,first,,,
BL Cd Day Zone,first,,TRUE,
BL Gp Day Zone,first,,,TRUE
Bath P&R 10,first,,,
Bath Z AD Day,first,,,
Bath Z AD Mouth,first,,,
Bath Z CH Day,first,,TRUE,
Bath Z CH Week,first,,TRUE,
Bath Z ST Mth,first,,,
Bath Zone G,first,,,
Birthday Offer,first,TRUE,,
BriRdr STU Day,first,,,
Bris 5 Adult S,first,,,
Bris 5 Child S,first,,TRUE,
Bris 5 Student S,first,,,
Bris AD 5 Day QR,first,,,
Bris CH 3 Day QR,first,,TRUE,
Bris CH 5 Day QR,first,,TRUE,
Bris Rider CHDay,first,,TRUE,
Bris Z AD Day,first,,,
Bris Z AD Day S,first,,,
Bris Z AD Month,first,,,
Bris Z AD Mth,first,,,
Bris Z AD Week,first,,,
Bris Z AD Wk,first,,,
Bris Z CH Day,first,,TRUE,
Bris Z CH Month,first,,TRUE,
Bris Z CH Mth,first,,TRUE,
Bris Z CH WK,first,,TRUE,
Bris Z CH Week,first,,TRUE,
Bris Z ST Month,first,,,
Bris Z ST Week,first,,,
Bris Z Stu Day,first,,,
Bris Z Stu Mth,first,,,
Bris Z Stu Wk,first,,,
BrisRdr Stu Day,first,,,
BrisRdr Stu Wk,first,,,
BrisRider AD Day,first,,,
BrisRider AD Wk,first,,,
Bristol Blind,first,,,
Bristol Blind +C,first,,,
Bristol Rider AD,big_lemon,,,
Bristol Rider AW,big_lemon,,,
Bristol Zone G,first,,,
BristolRider AW,big_lemon,,,
BrlRdr AD Day,first,,,
BrlRdr CH Day,first,,TRUE,
BrlRdr GP Day,first,,,TRUE
BthRdr STU Day,first,,,
BthRider AD Day,first,,,
BthRider GP Day,first,,,TRUE
CA Care Leaver P,first,TRUE,,
CA Promotion CH,first,TRUE,TRUE,
CA Promotion YP,first,TRUE,,
CACare LeaPassNS,first,TRUE,,
CD Cap Rtn,eurocoaches,,TRUE,
CD Cap Sgl,eurocoaches,,TRUE,
CD Rtn,big_lemon,,TRUE,
CD Sgl,ct_coaches,,TRUE,
CH Bath T2 QR,first,,TRUE,
CH Bath T3 QR,first,,TRUE,
CH Bris T2 QR,first,,TRUE,
CH Bris T3 QR,first,,TRUE,
CH Residents Rtn,first,,TRUE,
CH Residents Sgl,first,,TRUE,
CH WoE T2 QR,first,,TRUE,
CH WoE T3 QR,first,,TRUE,
CONC,abus,,,
CONC w/C,ct_coaches,,,
CONCSN,ct_coaches,,,
Ch Day BathRider,faresaver,,TRUE,
Ch Rtn 23,faresaver,,TRUE,
Ch Sgl 23,faresaver,,TRUE,
ChAptBus DaySing,first,,TRUE,
ChdApt AnyD Sing,first,,TRUE,
Child 2-Trip,first,,TRUE,
Child 2-Trip QR,first,,TRUE,
Child 3 Hop Stop,big_lemon,,TRUE,
Child FreeTravel,first,TRUE,TRUE,
Child OP Per Ret,first,,TRUE,
Child Return,first,,TRUE,
Child Single,first,,TRUE,
Child Single/Stu,big_lemon,,TRUE,
Child/Stu Return,big_lemon,,TRUE,
Child/Student Si,big_lemon,,TRUE,
Comp,faresaver,,,
Companion,first,,,
Computershare,first,,,
Conc,big_lemon,,,
Conc Elderly,faresaver,,,
Conc w/C,big_lemon,,,
Concession,eurocoaches,,,
Concession Pass,first,,,
Credit,first,,,
Customer Serv.,first,,,
Dependant Pass,first,,,
Diam TC Disabled,eurocoaches,,,
Diam TC Pensione,eurocoaches,,,
Diamond Dis Comp,eurocoaches,,,
Disabled Dmnd,first,,,
Disabled+C Dmnd,first,,,
ENCTS  Dis+Comp,first,,,
ENCTS Disabled,first,,,
ENCTS OAP,first,,,
FIRST Staff,first,,,
First Dependant,first,,,
First Partner,first,,,
First Retiree,first,,,
First Staff Pass,first,,,
Flyer AD Return,first,,,
Flyer AD Rtn QR,first,,,
Flyer CH Return,first,,TRUE,
Flyer CH Rtn QR,first,,TRUE,
Flyer FML Return,first,,,
Flyer FML Rtn QR,first,,,TRUE
Flyer ST Return,first,,,
Flyer ST Rtn QR,first,,,
Free Kids Travel,eurocoaches,TRUE,TRUE,
GWR Accept,first,,,
Kids go free,faresaver,TRUE,TRUE,
M AD Bris T2,first,,,
M AD Bris T3,first,,,
M Acad YrSGSBris,first,,,
M Acad YrSGSWoE,first,,,
M BL Flyer RetAD,first,,,
M BL Flyer SglAD,first,,,
M BLFlyer RtnCH,first,,TRUE,
M BLFlyer RtnFAM,first,,,TRUE
M BLFlyer RtnSTU,first,,,
M BLFlyer SglCH,first,,TRUE,
M BLFlyer SglST,first,,,
M Bath - P&R ADR,first,,,
M Bath - P&RGP,first,,,TRUE
M Bath 10/20 AD,first,,,
M Bath 10/20 CH,first,,TRUE,
M Bath 12/40 AD,first,,,
M Bath 12/40 CH,first,,TRUE,
M Bath 20/40 AD,first,,,
M Bath 20/40 CH,first,,TRUE,
M Bath 3/10 AD,first,,,
M Bath 3/10 CH,first,,TRUE,
M Bath 5/10 AD,first,,,
M Bath 5/10 CH,first,,TRUE,
M Bath 6/20 AD,first,,,
M Bath 6/20 CH,first,,TRUE,
M Bath FFS Child,first,,TRUE,
M Bath Spa UniPR,first,,,
M Bath Spa UniT1,first,,,
M Bath Uni Sem1,first,,,
M Bath Z AD Day,first,,,
M Bath Z AD Mth,first,,,
M Bath Z AD Wk,first,,,
M Bath Z ADYear,first,,,
M Bath Z CH Day,first,,TRUE,
M Bath Z CH Mth,first,,TRUE,
M Bath Z CH Wk,first,,TRUE,
M Bath Z CHYear,first,,TRUE,
M Bath Z GP Day,first,,,TRUE
M Bath Z Stu Day,first,,,
M Bath Z Stu Mth,first,,,
M Bath Z Stu Wk,first,,,
M Bath Z Stu Yr,first,,,
M Bath Z YP Day,first,,,
M Bath Z YP Mth,first,,,
M Bath Z YP Wk,first,,,
M Bath Z YP Yr,first,,,
M BathSpa YrOut,first,,,
M Bris 10/20 AD,first,,,
M Bris 10/20 CH,first,,TRUE,
M Bris 12/40 AD,first,,,
M Bris 12/40 CH,first,,TRUE,
M Bris 20/40 AD,first,,,
M Bris 20/40 CH,first,,TRUE,
M Bris 2T YP,first,,,
M Bris 3/10 AD,first,,,
M Bris 3/10 CH,first,,TRUE,
M Bris 5/10 AD,first,,,
M Bris 5/10 CH,first,,TRUE,
M Bris 6/20 AD,first,,,
M Bris 6/20 CH,first,,TRUE,
M Bris UWE T1,first,,,
M Bris Uni U2 Yr,first,,,
M Bris Z AD Day,first,,,
M Bris Z AD Mth,first,,,
M Bris Z AD Wk,first,,,
M Bris Z ADYear,first,,,
M Bris Z CH Day,first,,TRUE,
M Bris Z CH Mth,first,,TRUE,
M Bris Z CH Wk,first,,TRUE,
M Bris Z CH Yr,first,,TRUE,
M Bris Z GP Day,first,,,TRUE
M Bris Z Stu Day,first,,,
M Bris Z Stu Mth,first,,,
M Bris Z Stu Wk,first,,,
M Bris Z Stu Yr,first,,,
M Bris Z YP Day,first,,,
M Bris Z YP Mth,first,,,
M Bris Z YP Wk,first,,,
M Bris Z YP Yr,first,,,
M CBC BZ Autumn,first,,,
M CBC BZ Spring,first,,,
M CBC WoE Spring,first,,,
M CH Bris T2,first,,TRUE,
M CH Bris T3,first,,TRUE,
M CTC Bath Zone,first,,,
M CTC Bristol Z,first,,,
M CTC WoE Area,first,,,
M Group Metro,first,,,TRUE
M Metro AdultFFS,first,,,
M Metro ChildFFS,first,,TRUE,
M Metro Stu FFS,first,,,
M Metro YP FFS,first,,,
M SBath T3 CH,first,,TRUE,
M SBath T3 Stu,first,,,
M SGS Spring T3,first,,,
M SWoE T3 AD,first,,,
M SWoE T3 CH,first,,TRUE,
M SWoE T3 Stu,first,,,
M Sch Bath T2,first,,TRUE,
M Sch Bath T2..,first,,TRUE,
M Sch WoE T2..,first,,TRUE,
M St Bren AC YR,first,,,
M St Bren BI T1,first,,,
M St Bren BI T3,first,,,
M StBC WoE Term2,first,,,
M Stu Bris T2,first,,,
M Stu Bris T3,first,,,
M Thornbury ADSL,first,,,
M UWE Out Year,first,,,
M UWE Z Year,first,,,
M Uni Bath Yr Z,first,,,
M Uni Bath YrOut,first,,,
M Uni Bris SvU1,first,,,
M Uni Bris WoE,first,,,
M Uni Bris YrOut,first,,,
M UoBath Term 2,first,,,
M W2M Bris Uni Z,first,,,
M W2M BrisSt Mth,first,,,
M WC AT M-F,first,,,
M WC Appren Term,first,,,
M WC Autumn Term,first,,,
M WC SPT M-F,first,,,
M WC Spring Term,first,,,
M WSM FFS Child,first,,TRUE,
M WoE 10/20 AD,first,,,
M WoE 10/20 CH,first,,TRUE,
M WoE 12/40 AD,first,,,
M WoE 12/40 CH,first,,TRUE,
M WoE 20/40 AD,first,,,
M WoE 20/40 CH,first,,TRUE,
M WoE 3/10 AD,first,,,
M WoE 5/10 AD,first,,,
M WoE 5/10 CH,first,,TRUE,
M WoE 6/20 AD,first,,,
M WoE 6/20 CH,first,,TRUE,
M WoE StBren ACY,first,,,
M WoE StBren T3,first,,,
M Woe + CH Day,first,,TRUE,
M Woe AD Day,first,,,
M Woe AD Mth,first,,,
M Woe AD Week,first,,,
M Woe AD Year,first,,,
M Woe CH Day,first,,TRUE,
M Woe CH Month,first,,TRUE,
M Woe CH Week,first,,TRUE,
M Woe CH Year,first,,TRUE,
M Woe Group Day,first,,,TRUE
M Woe Stu Day,first,,,
M Woe Stu Month,first,,,
M Woe Stu Week,first,,,
M Woe Stu Year,first,,,
M Woe YP Day,first,,,
M Woe YP Month,first,,,
M Woe YP Week,first,,,
M Woe YP Year,first,,,
M Yate Adult Sgl,first,,,
M Yate CH Sgl,first,,TRUE,
M Yate Stu S,first,,,
M Yate YP S,first,,,
MBHP&R MultiTrip,first,,,
MBath  3/10 YP,first,,,
MBath 3/10 Stu,first,,,
MBath 5/10 YP,first,,,
MBath 5/10Stu,first,,,
MBath 6/20 Stu,first,,,
MBath 6/20 YP,first,,,
MBath FFS Adult,first,,,
MBath10/20 Stu,first,,,
MBath10/20S YP,first,,,
MBath12/40 Stu,first,,,
MBath20/40 Stu,first,,,
MBath20/40 YP,first,,,
MBathFFS Student,first,,,
MBathFFS YPerson,first,,,
MBris 3/10 Stu,first,,,
MBris 3/10 YP,first,,,
MBris 5/10 Stu,first,,,
MBris 5/10 YP,first,,,
MBris 6/20 Stu,first,,,
MBris 6/20 YP,first,,,
MBris FFS Adult,first,,,
MBris FFS Child,first,,TRUE,
MBris10/20 Stu,first,,,
MBris10/20 YP,first,,,
MBris12/40 Stu,first,,,
MBris12/40 YP,first,,,
MBris20/40 Stu,first,,,
MBrisFFS Student,first,,,
MBrisFFS YPerson,first,,,
MThorn Stu S,first,,,
MThorn YP S,first,,,
MThornbury CH S,first,,TRUE,
MUniBrisU210Dy/Y,first,,,
MWOEBFlyer RtnAD,first,,,
MWOEBFlyer RtnCH,first,,TRUE,
MWOEBFlyer Sg CH,first,,TRUE,
MWOEBFlyer SglAD,first,,,
MWOEBFlyerRtnFam,first,,,
MWOEBFlyerRtnStu,first,,,
MWOEBFlyerSglSTU,first,,,
MWoE 10/20 Stu,first,,,
MWoE 12/40 Stu,first,,,
MWoE 12/40 YP,first,,,
MWoE 20/40 Stu,first,,,
MWoE 20/40 YP,first,,,
MWoE 3/10 Stu,first,,,
MWoE 3/10 YP,first,,,
MWoE 5/10 Stu,first,,,
MWoE 5/10 YP,first,,,
MWoE 6/20 Stu,first,,,
MWoE 6/20 YP,first,,,
OAP Dmnd,first,,,
OAP+C Dmnd,first,,,
PADI Staff,first,,,
PB Adult Day,first,,,
PB Bristol TMead,first,,,
PB Child Day,first,,TRUE,
POS A1 ADSgl Use,first,,,
POS A1 STSgl Use,first,,,
POS Bath ADS Use,first,,,
POS Bath CHS Use,first,,TRUE,
POS Bath STS Use,first,,,
POS Bris ADS Use,first,,,
POS Bris CHS Use,first,,TRUE,
POS Bris STS Use,first,,,
POS WoE ADS Use,first,,,
POS WoE CHS Use,first,,TRUE,
Parkway Adlt Ret,first,,,
Partner Pass,first,,,
Pass,eurocoaches,,,
Pass Use,first,,,
Plat TC Blind,eurocoaches,,,
Punch,abus,,,
QR 10TA,faresaver,,,
QR ARTN,faresaver,,,
QR C1DY,faresaver,,TRUE,
QR C1MH,faresaver,,TRUE,
R/Allen Single,abus,,TRUE,
RBris Group Use,first,,,
Retiree Pass,first,,,
Rider accept,eurocoaches,,,
SG PLat Blind Co,eurocoaches,,,
SWoE Student Mth,first,,,
Senior Return,first,,,
Senior Single,first,,,
Somerset Dis,first,,,
Somerset Elderly,first,,,
Staff Pass,first,,,
SthGlouc Blind,first,,,
SthGlouc Blind+C,first,,,
Stu Bath T2 QR,first,,,
